Time,Open,High,Low,Close,Volume
04.01.2004 19:00:00.000,106.92,107.35,106,106.24,25255
05.01.2004 19:00:00.000,106.25,106.42,105.93,106.2,23395
06.01.2004 19:00:00.000,106.22,106.42,105.89,106.19,24108
07.01.2004 19:00:00.000,106.17,106.26,106.03,106.19,18435
08.01.2004 19:00:00.000,106.17,108.25,106.04,106.76,29418
09.01.2004 19:00:00.000,106.76,106.76,106.76,106.76,0
10.01.2004 19:00:00.000,106.71,106.73,106.52,106.6,1021
11.01.2004 19:00:00.000,106.61,106.75,106.29,106.6,28424
12.01.2004 19:00:00.000,106.61,106.61,106.08,106.21,29818
13.01.2004 19:00:00.000,106.22,106.33,105.92,106.23,33808
14.01.2004 19:00:00.000,106.24,106.5,105.94,106.26,35257
15.01.2004 19:00:00.000,106.27,107,105.7,106.6,33407
16.01.2004 19:00:00.000,106.6,106.6,106.6,106.6,0
17.01.2004 19:00:00.000,106.8,106.8,106.52,106.67,2007
18.01.2004 19:00:00.000,106.65,107.48,106.31,107.2,32347
19.01.2004 19:00:00.000,107.21,107.91,106.8,107.01,42497
20.01.2004 19:00:00.000,107.01,107.3,106.57,106.82,37803
21.01.2004 19:00:00.000,106.82,107.02,105.91,106.12,37869
22.01.2004 19:00:00.000,106.16,106.82,105.71,106.71,39614
23.01.2004 19:00:00.000,106.71,106.71,106.71,106.71,0
24.01.2004 19:00:00.000,106.75,106.75,106.39,106.72,1738
25.01.2004 19:00:00.000,106.72,106.72,105.76,106.36,40400
26.01.2004 19:00:00.000,106.37,106.39,105.43,105.63,38577
27.01.2004 19:00:00.000,105.62,106.61,105.42,106.13,39647
28.01.2004 19:00:00.000,106.13,106.24,105.6,105.91,37685
29.01.2004 19:00:00.000,105.93,106.13,105.56,105.66,44293
30.01.2004 19:00:00.000,105.66,105.66,105.66,105.66,0
31.01.2004 19:00:00.000,105.63,105.81,105.55,105.62,1800
01.02.2004 19:00:00.000,105.62,105.77,105.34,105.51,32687
02.02.2004 19:00:00.000,105.53,105.86,105.18,105.45,40452
03.02.2004 19:00:00.000,105.47,105.65,105.24,105.45,37215
04.02.2004 19:00:00.000,105.46,106.05,105.33,105.57,39200
05.02.2004 19:00:00.000,105.58,106.8,105.35,105.45,45754
